package,number_of_components,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.lang3.builder.ReflectionDiffBuilder,4,6,0.75,0.5,0.6,0.5,0.15,0.0
org.apache.commons.lang3.tuple.Triple,8,24,0.2760416666666667,0.5520833333333334,0.8913043478260869,1.0,0.49207427536231885,0.3333333333333333
org.apache.commons.lang3.Enum64,3,1,0.6666666666666666,0.6666666666666667,0,0.6666666666666666,0.0,0.0
org.apache.commons.lang3.reflect.TypeLiteral,5,4,0.3,0.6,0.8333333333333334,0.8,0.4,1.0
org.apache.commons.lang3.reflect.AClass,2,1,0.5,1.0,0,1.0,0.0,-1
org.apache.commons.lang3.SerializationException,4,8,0.34375,0.6875,0.25,0.5,0.0859375,7.0
org.apache.commons.lang3.concurrent.AtomicInitializer,2,3,1.0,0.0,0.0,0.5,0.0,0.0
org.apache.commons.lang3.reflect.InheritanceUtils,2,9,0.5,1.0,0.2222222222222222,1.0,0.2222222222222222,-1
org.apache.commons.lang3.exception.CloneFailedException,3,8,0.3333333333333333,0.6666666666666666,0.7142857142857143,1.0,0.47619047619047616,-1
org.apache.commons.lang3.Traffic,3,2,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,-1
org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemover,2,5,0.5,1.0,0.4,1.0,0.4,-1
org.apache.commons.lang3.CharEncoding,2,4,0.5,1.0,0.5,1.0,0.5,-1
org.apache.commons.lang3.ClassNotFoundSerialization,2,1,1.0,0.0,0,0.5,0.0,0.0
org.apache.commons.lang3.text.CompositeFormat,6,2,0.75,0.5,1.0,0.5,0.25,0.0
org.apache.commons.lang3.text.translate.CodePointTranslator,2,20,0.725,0.55,0.5736842105263158,1.0,0.3155263157894737,1.2222222222222223
org.apache.commons.lang3.concurrent.LazyInitializer,2,3,1.0,0.0,0.0,0.5,0.0,0.0
org.apache.commons.lang3.reflect.AAAClass,1,0,0,0.0,0,0,0.0,-1
org.apache.commons.lang3.text.translate.LookupTranslator,2,29,0.5517241379310345,0.896551724137931,0.1921182266009852,1.0,0.172243927297435,8.666666666666666
